English,Russian
computer,компьютер
concern,беспокойство
condition,состояние
conference,конференция
Congress,Конгресс
consider,учитывать
consumer,потребитель
contain,содержать
continue,продолжать
control,контроль
cost,расходы
could,мог
country,страна
couple,пара
course,курс
court,суд
cover,крышка
create,создавать
crime,преступление
cultural,культурный
culture,культура
cup,чашка
current,текущий
customer,клиент
cut,резать
dark,темный
data,данные
daughter,дочь
day,день
dead,мертвый
deal,иметь дело
death,смерть
debate,дебаты
decade,десятилетие
decide,решать
decision,решение
deep,глубокий
defense,защита
degree,степень
Democrat,Демократ
democratic,демократический
describe,описывать
design,дизайн
despite,несмотря на
detail,деталь
determine,определять
develop,развивать
development,разработка
die,умереть
difference,разница
different,другой
difficult,трудный
dinner,ужин
direction,направление
director,директор
discover,обнаружить
discuss,обсуждать
discussion,обсуждение
disease,болезнь
do,делать
doctor,врач
dog,собака
door,дверь
down,вниз
draw,рисовать
dream,мечтать
drive,водить машину
drop,уронить
drug,лекарство
during,в течение
each,каждый
early,рано
east,восток
easy,легкий
eat,есть
economic,экономический
economy,экономика
edge,край
education,образование
effect,эффект
effort,усилие
eight,восемь
either,или
election,выборы
else,еще
employee,сотрудник
end,конец
energy,энергия
enjoy,наслаждаться
enough,достаточно
enter,входить
entire,весь
environment,среда
environmental,относящийся к окружающей среде
especially,особенно
establish,учреждать
even,даже
evening,вечер
event,событие
ever,всегда
every,каждый
everybody,все
everyone,каждый
everything,все
evidence,доказательство
exactly,точно
example,пример
executive,исполнительный
exist,существовать
expect,ожидать
experience,опыт
expert,эксперт
explain,объяснять
eye,глаз
face,лицо
fact,факт
factor,фактор
fail,неудача
fall,падать
family,семья
far,далеко
fast,быстрый
father,отец
fear,страх
federal,федеральный
feel,чувствовать
feeling,чувство
few,немного
field,поле
fight,драться
figure,фигура
fill,наполнять
film,фильм
final,финальный
finally,окончательно
financial,финансовый
find,находить
fine,отлично
finger,Палец
finish,заканчивать
fire,огонь
firm,твердый
first,первый
fish,рыба
five,пять
floor,пол
fly,летать
focus,сосредоточиться
follow,следовать
food,еда
foot,ступня
for,для
force,сила
foreign,иностранный
forget,забывать
form,форма
former,бывший
forward,вперед
four,четыре
free,бесплатно
friend,друг
from,от
front,передний
full,полный
fund,фонд
future,будущее
game,игра
garden,сад
gas,газ
general,общий
generation,поколение
get,получать
girl,девочка
give,давать
glass,стекло
go,идти
goal,цель
good,хороший
government,правительство
great,большой
green,зеленый
ground,земля
group,группа
grow,расти
growth,рост
guess,предполагать
gun,пистолет
guy,парень
hair,волосы
half,половина
hand,рука
hang,вешать
happen,случаться
happy,счастливый
hard,жесткий
have,иметь
he,он
head,голова
health,здоровье
hear,слышать
heart,сердце
heat,нагревать
heavy,тяжелый
help,помощь
her,ее
here,здесь
herself,сама
high,высокий
him,ему
himself,сам
his,его
history,история
hit,ударять
hold,держать
home,дом
hope,надеяться
hospital,больница
hot,горячий
hotel,Гостиница
hour,час
house,дом
how,как
however,однако
huge,огромный
human,человек
hundred,сто
husband,муж
I,я
idea,идея
identify,идентифицировать
if,если
image,изображение
imagine,представлять себе
impact,влияние
important,важный
improve,улучшать
in,в
include,включать
including,включая
increase,увеличивать
indeed,действительно
indicate,указывать
individual,индивидуальный
industry,промышленность
information,информация
inside,внутри
instead,вместо
institution,учреждение
interest,интерес
interesting,интересный
international,Международный
interview,интервью
into,в
investment,инвестиции
involve,вовлекать
issue,проблема
it,это
item,элемент
its,его
itself,сам
job,работа
join,присоединиться
just,только
keep,держать
key,ключ
kid,ребенок
kill,убийство
kind,добрый
kitchen,кухня
know,знать
knowledge,знание
land,земля
language,язык
large,большой
last,последний
late,поздно
later,позже
laugh,смех
law,закон
lawyer,адвокат
lay,класть
lead,вести
leader,лидер
learn,учиться
least,наименее
leave,оставлять
left,левый
leg,нога
legal,юридический
less,меньше
let,позволять
letter,письмо
level,уровень
lie,ложь
life,жизнь
light,свет
like,нравиться
likely,вероятный
line,линия
list,список
listen,слушать
little,маленький
live,жить
local,местный
long,длинный
look,смотреть
lose,терять
loss,потеря
lot,много
love,любовь
low,низкий
machine,машина
magazine,журнал
main,основной
maintain,поддерживать
major,главный
majority,большинство
make,делать
man,мужчина
manage,управлять
management,управление
manager,менеджер
many,много
market,рынок
marriage,свадьба
material,материал
matter,иметь значение
may,может
maybe,может быть
me,мне
mean,иметь в виду
measure,мера
media,СМИ
medical,медицинский
meet,встретиться
meeting,встреча
member,член
memory,Память
mention,упомянуть
message,сообщение
method,метод
middle,середина
might,мощь
military,военный
million,миллион
mind,разум
minute,минута
miss,скучать
mission,миссия
model,модель
modern,современный
moment,момент
money,деньги
month,месяц
more,более
morning,утро
most,большинство
mother,мать
mouth,рот
move,двигаться
movement,движение
movie,фильм
Mr,Мистер
Mrs,Миссис
much,много
music,музыка
must,должен
my,мой
myself,сам
name,имя
nation,нация
national,национальный
natural,естественный
nature,природа
near,около
nearly,около
necessary,необходимый
need,нуждаться
network,сеть
never,никогда
new,новый
news,Новости
newspaper,газета
next,следующий
nice,хороший
night,ночь
no,нет
none,никто
nor,ни
north,север
not,нет
note,примечание
nothing,ничего
notice,уведомление
now,сейчас
n't,нет
number,число
occur,происходить
of,из
off,выключенный
offer,предложение
office,офис
officer,офицер
official,чиновник
often,часто
oh,ой
oil,масло
ok,хорошо
old,старый
on,на
once,один раз
one,один
only,только
onto,на
open,открыть
operation,операция
opportunity,возможность
option,вариант
or,или
order,заказ
organization,организация
other,другой
others,другие
our,наш
out,вне
outside,снаружи
over,над
own,собственный
owner,владелец
page,страница
pain,боль
painting,рисование
paper,бумага
parent,родитель
part,часть
participant,участник
particular,особый
particularly,особенно
partner,партнер
party,вечеринка
pass,проходить
past,прошлое
patient,пациент
pattern,шаблон
pay,платить
peace,мир
people,люди
per,за
perform,выполнять
performance,производительность
perhaps,возможно
period,период
person,человек
personal,личный
phone,телефон
physical,физический
pick,выбирать
picture,картина
piece,кусок
place,место
plan,план
plant,растение
play,играть
player,игрок
PM,ВЕЧЕРА
point,точка
police,полиция
policy,политика
political,политический
politics,политика
poor,бедный
popular,популярный
population,Население
position,позиция
positive,позитивный
possible,возможный
power,власть
practice,упражняться
prepare,подготовить
present,подарок
president,президент
pressure,давление
pretty,симпатичный
prevent,предотвращать
price,цена
private,частный
probably,вероятно
problem,проблема
process,процесс
produce,производить
product,продукт
production,производство
professional,профессиональный
professor,профессор
program,программа
project,проект
property,свойство
protect,защищать
prove,доказывать
provide,предоставлять
public,общественный
pull,тянуть
purpose,цель
push,толкать
put,помещать
quality,качество
question,вопрос
quickly,быстро
quite,довольно
race,раса
radio,радио
raise,поднимать
range,диапазон
rate,ставка
rather,скорее
reach,достигать
read,читать
ready,готовый
real,настоящий
reality,реальность
realize,понимать
really,Действительно
reason,причина
receive,получать
recent,недавний
recently,недавно
recognize,распознавать
record,записывать
red,красный
reduce,уменьшать
reflect,отражать
region,область
relate,иметь отношение к
relationship,отношение
religious,религиозный
remain,оставаться
remember,помнить
remove,удалять
report,отчет
represent,представлять
Republican,республиканец
require,требовать
research,исследовать
resource,ресурс
respond,отвечать
response,ответ
responsibility,ответственность
rest,отдых
result,результат
return,возвращаться
reveal,раскрывать
rich,богатый
right,верно
rise,рост
risk,риск
road,дорога
rock,камень
role,роль
room,комната
rule,правило
run,бегать
safe,безопасный
same,такой же
save,сохранять
say,сказать
scene,сцена
school,школа
science,наука
scientist,ученый
score,счет
sea,море
season,время года
seat,сиденье
second,второй
section,раздел
security,безопасность
see,видеть
seek,искать
seem,казаться
sell,продавать
send,отправлять
senior,старшая
sense,смысл
series,ряд
serious,серьезный
serve,служить
service,услуга
set,набор
seven,Семь
several,несколько
sex,секс
sexual,сексуальный
shake,трясти
share,делиться
she,она
shoot,стрелять
short,короткий
shot,выстрелил
should,должен
shoulder,плечо
show,показывать
side,сторона
sign,знак
significant,значительный
similar,похожий
simple,простой
simply,просто
since,с
sing,петь
single,одинокий
sister,сестра
sit,сидеть
site,сайт
situation,ситуация
six,шесть
size,размер
skill,навык
skin,кожа
small,маленький
smile,улыбка
so,так
social,Социальное
society,общество
soldier,солдат
some,некоторый
somebody,кто-нибудь
someone,кто-то
something,что-нибудь
sometimes,иногда
son,сын
song,песня
soon,скоро
sort,Сортировать
sound,звук
source,источник
south,юг
southern,южный
space,космос
speak,говорить
special,особенный
specific,специфический
speech,речь
spend,тратить
sport,спорт
spring,весна
staff,персонал
stage,этап
stand,стоять
standard,стандартный
star,звезда
start,начинать
state,состояние
statement,заявление
station,станция
stay,оставаться
step,шаг
still,все еще
stock,запас
stop,останавливаться
store,магазин
story,история
strategy,стратегия
street,улица
strong,сильный
structure,состав
student,студент
study,изучать
stuff,вещи
style,стиль
subject,предмет
success,успех
successful,успешный
such,такой
suddenly,внезапно
suffer,страдать
suggest,предлагать
summer,лето
support,поддерживать
sure,конечно
surface,поверхность
system,система
table,стол
take,брать
talk,разговаривать
task,задача
tax,налог
teach,учат
teacher,учитель
team,команда
technology,технологии
television,телевидение
tell,рассказывать
ten,десять
tend,иметь тенденцию
term,срок
test,тест
than,чем
thank,благодарить
that,что
the,тот
their,их
them,их
themselves,сами себя
then,затем
theory,теория
there,там
these,эти
they,они
thing,вещь
think,думать
third,третий
this,этот
those,те
though,хотя
thought,мысль
thousand,тысяча
threat,угроза
three,три
through,через
throughout,через
throw,бросать
thus,таким образом
time,время
to,к
today,сегодня
together,вместе
tonight,сегодня вечером
too,слишком
top,вершина
total,общий
tough,жесткий
toward,к
town,город
trade,торговля
traditional,традиционный
training,обучение
travel,путешествовать
treat,обращаться
treatment,уход
tree,дерево
trial,пробный
trip,путешествие
trouble,беда
TRUE,истинный
truth,правда
try,пытаться
turn,повернуть
TV,ТВ
two,два
type,тип
under,под
understand,понимать
unit,единица
until,до
up,вверх
upon,на
us,нас
use,использовать
usually,обычно
value,ценить
various,различный
very,очень
victim,жертва
view,вид
violence,насилие
visit,посещать
voice,голос
vote,голосование
wait,ждать
walk,ходить
wall,стена
want,хотеть
war,война
watch,смотреть
water,вода
way,способ
we,мы
weapon,оружие
wear,носить
week,неделя
weight,масса
well,хорошо
west,запад
western,западный
what,что
whatever,что бы ни
when,когда
where,где
whether,ли
which,который
while,пока
white,белый
who,ВОЗ
whole,весь
whom,кому
whose,чей
why,почему
wide,широкий
wife,жена
will,воля
win,победить
wind,ветер
window,окно
wish,желание
with,с
within,в пределах
without,без
woman,женщина
wonder,удивляться
word,слово
work,работа
worker,рабочий
world,мир
worry,волноваться
would,бы
write,писать
writer,писатель
wrong,неправильный
yard,площадка
yeah,ага
year,год
yes,да
yet,еще
you,ты
young,молодой
your,твой
yourself,сам
